"x","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000169413",-230.71264930074,81.5808416324565,-14.10299856196,4.44790793318618e-11,5.37384261350812e-09,-3.93714397070736
"ENSG00000168918",-295.367929875765,107.089611978668,-14.0675942357118,4.634597163272e-11,5.54606793871549e-09,-3.93744323785344
"ENSG00000153283",-214.543955585776,67.3415729242158,-14.0237987076066,4.8770013538876e-11,5.7810869822262e-09,-3.93781621576974
"ENSG00000115956",-1258.99576252453,428.524855258899,-13.9540040996619,5.29125184189777e-11,6.21351209284537e-09,-3.93841704533072
"ENSG00000214212",-158.789402233361,49.812053460407,-13.8387238418062,6.05850996116958e-11,7.04862756130517e-09,-3.93942708250829
"ENSG00000111679",-951.507524302799,330.00587456983,-13.7845077624336,6.45899909502213e-11,7.44562602100487e-09,-3.9399098500134
"ENSG00000240065",-974.865686635779,457.73300942355,-13.764964607568,6.61010719084643e-11,7.55054516845321e-09,-3.94008510668664
"ENSG00000183283",-2145.4889569461,1538.98626218329,-13.7529950116714,6.70448790499141e-11,7.5893595068664e-09,-3.94019277145469
"ENSG00000110324",-655.397084797191,214.272922613036,-13.6955567875842,7.17751616930376e-11,8.05227595243766e-09,-3.94071288353441
"ENSG00000139278",-221.252567764417,75.0852564975182,-13.6708590854622,7.39158270874915e-11,8.15700333903743e-09,-3.94093830125256
"ENSG00000178927",-370.16375629409,183.826665075022,-13.669649201444,7.40224029263528e-11,8.15700333903743e-09,-3.94094937158626
"ENSG00000197249",-1497.5823000949,469.267785989062,-13.6624915405533,7.46562183835499e-11,8.15700333903743e-09,-3.94101491650838
"ENSG00000085265",-5582.9056087801,1752.98885685076,-13.6306425085691,7.75464358737573e-11,8.39974971339449e-09,-3.94130766989808
"ENSG00000107738",-945.716672120367,433.68783412236,-13.6073341627274,7.97360201497411e-11,8.56310336052562e-09,-3.94152306431109
"ENSG00000119535",-428.181222373528,134.172684968781,-13.5734713511458,8.30336096565571e-11,8.84167207910712e-09,-3.9418377322921
"ENSG00000130775",-435.446457203726,142.292111859491,-13.5440350613202,8.60166408610796e-11,9.08234531444929e-09,-3.94211295275127
"ENSG00000138964",-240.168608816319,79.8404822643678,-13.497775097086,9.09343403108037e-11,9.52158321671041e-09,-3.9425486663644
"ENSG00000204397",-256.164458668335,98.7678871977283,-13.4026000260342,1.0200511393319e-10,1.05925145171118e-08,-3.94345756763625
"ENSG00000162704",-710.79506478556,455.394151073548,-13.3885187274961,1.03759726214897e-10,1.06864013105752e-08,-3.94359348432058
"ENSG00000198771",-437.517184006756,152.5967701723,-13.3757092867684,1.0538342235114e-10,1.07653878198543e-08,-3.94371745114283
"ENSG00000140105",-1321.27140628317,535.956092680846,-13.3294109437954,1.11478373310662e-10,1.12961754891006e-08,-3.94416812555358
"ENSG00000064666",-325.820358563653,165.680938762954,-13.257573000559,1.21679735422758e-10,1.22312470046957e-08,-3.94487558874064
"ENSG00000242574",-357.972792789706,149.22545882854,-13.1812381748968,1.33602148519426e-10,1.33231031440205e-08,-3.94563842350221
"ENSG00000185862",-229.634369723434,77.5638417778339,-13.1444295499869,1.397841040259e-10,1.38298210006727e-08,-3.94601040834105
"ENSG00000140749",-282.972892232003,107.593030752996,-13.1307345425688,1.42160266674512e-10,1.39550293028535e-08,-3.94614950493431
"ENSG00000244509",-875.061384509232,442.650484767302,-13.1086815144056,1.46076226273331e-10,1.42282773885613e-08,-3.94637428997315
"ENSG00000000938",-1125.3072385812,363.640490139866,-13.0749028577757,1.5229559645417e-10,1.47199551495896e-08,-3.94672051441213
"ENSG00000117091",-164.617834912985,52.000263971263,-13.0471575726572,1.57612125198957e-10,1.51175294131672e-08,-3.94700664903433
"ENSG00000223865",-1266.38945034056,667.36082852761,-13.030893698983,1.60818952379882e-10,1.53082586110092e-08,-3.9471751159965
"ENSG00000211778",-28.1805401914618,8.83219939091024,-12.9184267113843,1.84958584511474e-10,1.74737189051629e-08,-3.94835524040921
"ENSG00000168497",-327.493633124364,131.449983805332,-12.9122357878033,1.8639335838155e-10,1.74778548362998e-08,-3.94842097992876
"ENSG00000111229",-172.569905853951,124.88846556875,-12.8759639539887,1.95037870762211e-10,1.81529692305717e-08,-3.94880779174212
"ENSG00000128383",-146.694003441776,47.8347668530698,-12.8556249991015,2.00068570327782e-10,1.84842763688866e-08,-3.9490259333028
"ENSG00000143226",-318.296975194423,112.414234306589,-12.8198370064377,2.09254309629801e-10,1.91918277408645e-08,-3.9494119544072
"ENSG00000165168",-334.819935022747,107.075469264947,-12.7881934693891,2.17745545587078e-10,1.98258897123307e-08,-3.94975560951839
"ENSG00000155926",-311.897700931645,116.160307038201,-12.6796366756826,2.49734465411162e-10,2.25749176826709e-08,-3.95095148625514
"ENSG00000121316",-495.203076843665,247.972945240586,-12.6565984767397,2.57137361007034e-10,2.30780781503813e-08,-3.95120869830074
"ENSG00000155629",-112.542803918104,36.0309094328348,-12.6497718556422,2.59374975640221e-10,2.31138054533289e-08,-3.95128514748825
"ENSG00000235568",-171.390547083972,57.0748469586209,-12.6046700118534,2.74681908921906e-10,2.43054801803081e-08,-3.95179292027836
"ENSG00000136286",-422.034065914101,149.321670584969,-12.5892841566247,2.80118334189167e-10,2.46131948887195e-08,-3.95196721552247
"ENSG00000149781",-466.032951343125,157.79357416365,-12.5691954312904,2.87387142874507e-10,2.50765239598485e-08,-3.9521956157282
"ENSG00000055163",-424.203087730991,143.388798750437,-12.5317600876415,3.01466254082282e-10,2.61236102244405e-08,-3.95262376224632
"ENSG00000172349",-470.678220154662,182.338559457673,-12.4916370171227,3.17363615199911e-10,2.7287794005093e-08,-3.95308632491739
"ENSG00000175463",-292.319119797552,97.3325669615705,-12.4870303911541,3.1924438668911e-10,2.7287794005093e-08,-3.95313967805609
"ENSG00000143815",-217.27851518308,87.438817325143,-12.4236316643805,3.46351845134709e-10,2.94048036089028e-08,-3.95387913067
"ENSG00000133872",-572.750353352642,488.832927185764,-12.4090335096709,3.52929504279464e-10,2.96357335903763e-08,-3.95405077444386
"ENSG00000102096",-293.193410662379,101.419930238819,-12.4071469025861,3.53789099765734e-10,2.96357335903763e-08,-3.95407299489735
"ENSG00000100060",-378.161972586265,136.507305937428,-12.3354454344565,3.88143807859368e-10,3.22981916937282e-08,-3.95492397461451
"ENSG00000197043",-202.308152030577,102.225826934751,-12.2827040592192,4.15640695357772e-10,3.43587193234895e-08,-3.95555807973713
"ENSG00000115523",-3547.28838177177,1123.82634373708,-12.2657814173561,4.24890927691539e-10,3.48938203035568e-08,-3.95576302166194
"ENSG00000115271",-212.418034025084,80.7552992817303,-12.2549432369176,4.30928645325143e-10,3.51598599253923e-08,-3.95589465866251
"ENSG00000100911",-494.253712230215,309.396692560016,-12.2445732996952,4.36789899857304e-10,3.54081618819808e-08,-3.95602088800045
"ENSG00000117676",-234.850394105244,81.5605303202833,-12.2106451184286,4.56558762210541e-10,3.64219198980304e-08,-3.95643580216804
"ENSG00000168329",-593.273606700188,193.782402559132,-12.2101910537276,4.56829614474421e-10,3.64219198980304e-08,-3.9564413750262
"ENSG00000158985",-492.806856673212,218.909110259737,-12.2082464173961,4.57991511650522e-10,3.64219198980304e-08,-3.95646524807019
"ENSG00000172543",-610.326740808023,197.128401906814,-12.1891966898909,4.69538968369384e-10,3.71053908022724e-08,-3.9566996246351
"ENSG00000130592",-544.976705353262,283.497114537762,-12.1428222782532,4.98946665763951e-10,3.91829053457753e-08,-3.95727412111072
"ENSG00000112576",-766.151486874014,339.658229779214,-12.1009745797389,5.27145352122576e-10,4.11402568286967e-08,-3.95779737163078
"ENSG00000105374",-1887.89799912097,601.72429958605,-11.9587131515899,6.36197152673703e-10,4.92651105326031e-08,-3.95961115772682
"ENSG00000034510",-3657.76807009428,1964.95270818618,-11.9552927485029,6.39093753825253e-10,4.92651105326031e-08,-3.95965544374039
"ENSG00000180448",-481.41303514443,155.681987161787,-11.9401907660761,6.52049517795398e-10,4.99573304335316e-08,-3.95985136373563
"ENSG00000188042",-212.282497427384,89.3475817424055,-11.8696081150839,7.16362381591672e-10,5.45520807557537e-08,-3.96077544489829
"ENSG00000164054",-318.471054282111,234.35099017244,-11.860911787243,7.24735168120999e-10,5.48572131773515e-08,-3.96089026494944
"ENSG00000108244",493.39691314903,359.841879279531,11.8406465996598,7.44647528456448e-10,5.60269233236842e-08,-3.96115866174613
"ENSG00000114013",-174.930517639233,67.234212624662,-11.8358041112516,7.49490190045062e-10,5.60556204637869e-08,-3.96122296921074
"ENSG00000168421",-261.033251394161,83.0490151232629,-11.7591078235996,8.30758836643741e-10,6.17661821445479e-08,-3.96225043501261
"ENSG00000265972",-3396.8870354953,1911.85305785755,-11.664876969833,9.43452422841844e-10,6.9732233488281e-08,-3.96353622919395
"ENSG00000104974",-232.865668832558,75.7223530873161,-11.6498715820613,9.62829721200842e-10,7.0630693175814e-08,-3.96374340448304
"ENSG00000137845",-128.053824937886,59.3701043227368,-11.6467975284342,9.66850714384401e-10,7.0630693175814e-08,-3.96378593015116
"ENSG00000075884",-201.401423347503,72.2591702943694,-11.6130168416011,1.01221639321388e-09,7.3517335148742e-08,-3.96425511270055
"ENSG00000163221",-456.14228689328,143.110304884081,-11.5840405588008,1.05290972702365e-09,7.60333949428285e-08,-3.96466031321039
"ENSG00000109743",-164.692881766059,69.1668924573376,-11.5513880374888,1.10083110310172e-09,7.90396732027038e-08,-3.96511998789415
"ENSG00000185201",-1714.49870947608,809.968359787661,-11.5313155480285,1.13142109826628e-09,8.07744664756577e-08,-3.96540418841488
"ENSG00000126264",-264.213916178022,88.4208700420888,-11.4918621860641,1.19417593907757e-09,8.47729981610712e-08,-3.9659664328085
"ENSG00000204287",-3878.64124615277,2179.15082686271,-11.4492148720172,1.26613687647629e-09,8.93764598478907e-08,-3.96657966540241
"ENSG00000261371",-689.589662624652,297.365351740598,-11.4338143901706,1.29322892218485e-09,9.07112235490877e-08,-3.96680252098047
"ENSG00000065413",-148.965387071899,55.0767742966743,-11.4276953993902,1.30416149147511e-09,9.07112235490877e-08,-3.96689127584336
"ENSG00000204261",-119.086264439927,44.5732480799097,-11.4262802538898,1.30670365796935e-09,9.07112235490877e-08,-3.96691181922128
"ENSG00000142347",-416.137874174242,136.104965812102,-11.4131649865384,1.33051278804644e-09,9.18565559439751e-08,-3.96710251435316
"ENSG00000153310",-265.966654539366,117.301038430829,-11.4058656689928,1.34396054135386e-09,9.22779464596245e-08,-3.96720888372957
"ENSG00000137078",-23.0965380605382,7.32023618860184,-11.3965231416391,1.36138095176967e-09,9.29660416249231e-08,-3.96734527657251
"ENSG00000101347",-483.514977923298,206.611500401946,-11.3877964365325,1.37786714927172e-09,9.35832471924277e-08,-3.96747293183696
"ENSG00000163931",-394.470563799782,273.66424756192,-11.3429473631914,1.4659623321128e-09,9.903127259676e-08,-3.96813286544389
"ENSG00000172116",-181.260721176402,59.5709750809513,-11.2770365139541,1.60630292233127e-09,1.07931530583382e-07,-3.96911462079802
"ENSG00000105427",1069.15516021741,738.279369238515,11.2596948888414,1.64552199229323e-09,1.09978637410449e-07,-3.96937531070237
"ENSG00000141968",-123.414822134936,39.6672278564299,-11.2406897284203,1.68965927113072e-09,1.1195901270106e-07,-3.96966215887379
"ENSG00000180644",-1479.14103250447,466.556999644563,-11.237913793144,1.6962092767865e-09,1.1195901270106e-07,-3.96970415765582
"ENSG00000239713",-300.716808959281,96.6335247819064,-11.2320548228577,1.71012150026441e-09,1.1195901270106e-07,-3.96979288633596
"ENSG00000172757",-356.936441751201,290.069520936658,-11.2317727478934,1.71079430470382e-09,1.1195901270106e-07,-3.96979716100675
"ENSG00000124466",2229.24953647976,1537.56133069282,11.1811579009412,1.83613354347094e-09,1.1953895323167e-07,-3.97056854312597
"ENSG00000182162",-245.516933525248,76.9736022753088,-11.1669853356038,1.87292935760569e-09,1.20968059848825e-07,-3.97078609462103
"ENSG00000088053",-33.1783930691765,10.4034181302791,-11.1653062943091,1.87733956788865e-09,1.20968059848825e-07,-3.97081191366407
"ENSG00000182287",-300.765753530226,106.302140592999,-11.1569395758712,1.89947874257636e-09,1.21770155104449e-07,-3.97094071466106
"ENSG00000205220",-229.716146309281,99.2731954833341,-11.1436391770353,1.9352383706008e-09,1.23432843282229e-07,-3.97114596122536
"ENSG00000048740",-289.994700067867,138.883363689004,-11.1255493432006,1.98501208123596e-09,1.25968064650151e-07,-3.97142609406841
"ENSG00000167261",-155.012730775545,48.5796258479508,-11.1018082563772,2.05238100314735e-09,1.29588780424857e-07,-3.97179545877776
"ENSG00000135426",-102.305270575224,33.7490031996094,-11.0804305594268,2.11509615754857e-09,1.32880916097989e-07,-3.9721297327518
"ENSG00000189067",-977.295403860051,671.464652009813,-11.0630711742944,2.16750072934444e-09,1.35051644747188e-07,-3.9724023514852
"ENSG00000186810",-256.343629659872,86.0233938080093,-11.0618805196731,2.17114462705388e-09,1.35051644747188e-07,-3.97242108881823
"ENSG00000012779",-348.088808790021,115.610003459063,-11.0525391434709,2.1999570086876e-09,1.35588188682836e-07,-3.97256826742146
"ENSG00000189001",1546.93339423119,1065.69136825327,11.0520900627961,2.20135220782321e-09,1.35588188682836e-07,-3.97257535069364
"ENSG00000142669",-3647.09209734979,2091.61085534097,-11.040055989406,2.23908723898402e-09,1.37239664184557e-07,-3.97276542757563
"ENSG00000153563",-338.384993095287,106.925708340218,-10.9605383208991,2.50610856809369e-09,1.52521858558137e-07,-3.97403437927915
"ENSG00000168461",-210.484264967434,107.760997639626,-10.9586907228261,2.51269595873731e-09,1.52521858558137e-07,-3.97406413382071
"ENSG00000150867",-170.072784385333,67.0490364760158,-10.9542640625666,2.52855266165683e-09,1.52746462469798e-07,-3.97413547308236
"ENSG00000137575",-509.866454080713,338.888560426724,-10.9407683590765,2.57754638037098e-09,1.54961101767279e-07,-3.97435340675703
"ENSG00000142227",-213.336700732343,104.235510038432,-10.9145539931822,2.6755793103426e-09,1.60088828735499e-07,-3.97477862485354
"ENSG00000206503",-1072.0988108177,799.663987776517,-10.8689572385899,2.85552324303933e-09,1.70045732458717e-07,-3.97552426139796
